Site,Trap_Type,SubSample,EPT_DryMass,NonEPT_DryMass
51A,Hess,1,0.018,0.013
51A,Hess,2,0.028,0.013
51A,Hess,3,0.046,0.05
62A,Hess,1,0.067,0.008
62A,Hess,2,0.023,0.047
62A,Hess,3,0.0009,0.0009
70A,Hess,1,0.045,0.01
70A,Hess,2,0.014,0.018
70A,Hess,3,0.032,0.096
72A,Hess,1,0,0.009
72A,Hess,2,0,0
72A,Hess,3,0,0
73A,Hess,1,0.04,0.02
73A,Hess,2,0.048,0.036
73A,Hess,3,0.0009,0.0009
78A,Hess,1,0.003,0.068
78A,Hess,2,0.0009,0.0009
78A,Hess,3,0.006,0.013
108A,Hess,1,0.0009,0.017
108A,Hess,2,0.027,0.0009
108A,Hess,3,0.043,0.016
75A,Hess,1,0.001g,0.02
75A,Kick,1,0.001g,0.001
75A,Dip,1,0.041g,0.001
75A,Hess,2,0.000g,0
75A,Hess,3,0.000g,0
73A,Hess,3,0.001g,0.001
73A,Hess,2,0.048g,0.036
62A,Hess,1,0.067g,0.008
62A,Seine,1,0.060g,0.025
62A,Dip,1,0.061g,0.115
62A,Seine,2,0.007g,0.036
50A,Hess,2,0.021g,0.075
50A,Seine,1,0.019g,0.061
50A,Dip,1,0.022g,0.031
50A,Hess,1,0.013g,0.001
50A,Hess,3,0.030g,0.013
43M,Hess,1,0.041g,0.031
43M,Hess,2,0.000g,0.001
43M,Hess,3,0.000g,0
43M,Dip,1,0.000g,0.021
43M,Seine,1,0.011g,0.017
10A,Dip,1,0.001g,0.035
10A,Hess,1,0.001g,0.009
10A,Seine,1,0.016g,0.001
15A,Hess,1,0.000g,0
15A,Seine,1,0.000g,0.004
15A,Hess,2,0.026g,0.017
12A,Dip,1,0.000g,0.028
33A,Hess,2,0.000g,0.018
33A,Hess,3,0.030g,0.015
33A,Hess,1,0.009g,0.046
33A,Kick,1,0.024g,0.058
33A,Dip,1,0.001g,0.02
71A,Dip,1,0.024g,0.029
71A,Hess,3,0.049g,0
71A,Hess,2,0.001g,0.038
71A,Hess,1,0.001g,0.013
71A,Seine,1,0.123g,0.023
